search_word,title,price,url
Молоко,"Молоко питьевое топленое 2.5% Зелёная Линия, 900мл","99,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-pitevoe-toplenoe-2-5-zelenaa-linia-900ml-4205257
Молоко,"Паста c молоком и какао Маркет, 350г","139,99 ₽",https://www.perekrestok.ru/cat/204/p/pasta-c-molokom-i-kakao-market-350g-4330641
Молоко,"Молоко Правильное Молоко пастеризованное 3.2-4%, 2л","229,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-pravilnoe-moloko-pasterizovannoe-3-2-4-2l-3439471
Молоко,"Сливки ультрапастеризованные 20% Молочный Знак, 200г","67,99 ₽",https://www.perekrestok.ru/cat/115/p/slivki-ultrapasterizovannye-20-molocnyj-znak-200g-4316249
Молоко,"Кефир 3.2% Молочный Знак, 175мл","37,99 ₽",https://www.perekrestok.ru/cat/120/p/kefir-3-2-molocnyj-znak-175ml-4318914
Молоко,"Молоко цельное отборное пастеризованное 3.2-6% Зелёная Линия, 900мл","97,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-celnoe-otbornoe-pasterizovannoe-3-2-6-zelenaa-linia-900ml-4238319
Молоко,"Молоко питьевое пастеризованное 3.2% Зелёная Линия, 900мл","89,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-pitevoe-pasterizovannoe-3-2-zelenaa-linia-900ml-4166075
Молоко,"Молоко пастеризованное 3.2% Зелёная Линия, 900мл","99,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-pasterizovannoe-3-2-zelenaa-linia-900ml-4265656
Молоко,"Ряженка 3.2% Молочный знак, 430мл","41,90 ₽",https://www.perekrestok.ru/cat/120/p/razenka-3-2-molocnyj-znak-430ml-4173940
Молоко,"Молоко для детского питания с 8 месяцев 3.2% Зелёная Линия, 210мл","43,99 ₽",https://www.perekrestok.ru/cat/284/p/moloko-dla-detskogo-pitania-s-8-mesacev-3-2-zelenaa-linia-210ml-3668953
Молоко,"Ряженка банан-карамель 2% Зелёная Линия, 230мл","49,99 ₽",https://www.perekrestok.ru/cat/120/p/razenka-banan-karamel-2-zelenaa-linia-230ml-4250866
Молоко,"Молоко топлёное питьевое 4% Зелёная Линия, 500мл","57,99 ₽",https://www.perekrestok.ru/cat/114/p/moloko-toplenoe-pitevoe-4-zelenaa-linia-500ml-4280728
Молоко,"Сливки питьевые стерилизованные 20% Молочный знак, 500мл","189,99 ₽",https://www.perekrestok.ru/cat/115/p/slivki-pitevye-sterilizovannye-20-molocnyj-znak-500ml-4178851
Молоко,"Вафли Топленое Молоко Пр!ст, 200г","69,99 ₽",https://www.perekrestok.ru/cat/702/p/vafli-toplenoe-moloko-pr-st-200g-4323149
Молоко,"Сливки стерилизованные 10% Пр!ст, 195мл","49,99 ₽",https://www.perekrestok.ru/cat/115/p/slivki-sterilizovannye-10-pr-st-195ml-3431574
Молоко,"Кефир 3.2% Молочный знак, 900мл","114,99 ₽",https://www.perekrestok.ru/cat/120/p/kefir-3-2-molocnyj-znak-900ml-4198906
Молоко,"Ряженка курага-чернослив 2% Зелёная Линия, 230мл","49,99 ₽",https://www.perekrestok.ru/cat/120/p/razenka-kuraga-cernosliv-2-zelenaa-linia-230ml-4250861
Молоко,"Ацидофилин 3.2% Молочный знак, 175мл","37,99 ₽",https://www.perekrestok.ru/cat/120/p/acidofilin-3-2-molocnyj-znak-175ml-4230793
Хлеб,"Батон Нарезной нарезка Маркет Перекрёсток, 400г","53,99 ₽",https://www.perekrestok.ru/cat/243/p/baton-nareznoj-narezka-market-perekrestok-400g-3974714
Хлеб,"Хлеб Дарницкий формовой нарезка Маркет Перекрёсток, 350г","37,99 ₽",https://www.perekrestok.ru/cat/243/p/hleb-darnickij-formovoj-narezka-market-perekrestok-350g-3974720
